**** BEGIN LOGGING AT Mon Feb 24 16:40:36 2014

Feb 24 16:40:36 *	Now talking on #rekt
Feb 24 16:40:42 *	You've invited zooman to #rekt (luna.irc.comeinside.org)
Feb 24 16:41:58 *	zooman (zooman@ci-1rn.4s1.klu73d.IP) has joined
Feb 24 16:42:03 <zooman>	echo is a fgt
Feb 24 16:42:11 <Echo>	keekee
Feb 24 16:42:16 <Echo>	you actually joined it
Feb 24 16:42:27 <Echo>	I was tempted to just sajoin you too it
Feb 24 16:42:34 <Echo>	but that's mod abuse clearly
Feb 24 16:42:48 <zooman>	you can do that?
Feb 24 16:42:50 <zooman>	hm
Feb 24 16:42:55 <zooman>	didnt know that wqas possible
**** ENDING LOGGING AT Mon Feb 24 16:44:14 2014

