**** BEGIN LOGGING AT Mon Feb 24 00:09:38 2014

Feb 24 00:09:38 *	Now talking on #batpony
Feb 24 00:10:00 *	zoobat (zooman@ci-1rn.4s1.klu73d.IP) has joined
Feb 24 00:10:04 <zoobat>	kee
Feb 24 00:10:27 <zoobat>	dude
Feb 24 00:10:30 <zoobat>	i love derram
Feb 24 00:10:35 <zoobat>	and i think hes mostly in the right
Feb 24 00:10:40 <zoobat>	But fuck man .-.
Feb 24 00:12:10 *	zoobat pokes echo
Feb 24 00:12:13 <zoobat>	bat about with me
Feb 24 00:12:14 <Echo>	what
Feb 24 00:12:16 <zoobat>	post cute batpone
Feb 24 00:12:36 <Echo>	fine
Feb 24 00:12:55 <Echo>	http://i.imgur.com/ZQ9sugx.gif
Feb 24 00:14:06 <zoobat>	so cyoot
Feb 24 00:14:27 <Echo>	http://i.imgur.com/CfqtiDP.jpg
Feb 24 01:27:22 *	zoobat has quit (Quit: bitches dont know about my crystal weed)
**** ENDING LOGGING AT Mon Feb 24 01:43:08 2014

